,filename,advisor,rating_1,rating_2,rating,version,tp_1,tp_2,tp,author_1,author_2,author,summary_1,summary_2,summary
0,1101_台泥_2018-05-17_中信投顧_中信個股報告-20180517_1101台泥.pdf,Ctbc,中立,中立,中立,old,50.00,50.00,50.00,江釗亨,江釗亨,江釗亨,台泥大陸水泥噸毛利提高，獲利能力轉佳,NULL,台泥大陸水泥噸毛利提高，獲利能力轉佳
1,1101_台泥_2018-11-20_中信投顧_中信個股報告-20181120_1101台泥.pdf,Ctbc,買進,買進,買進,old,42.00,42.00,42.00,江釗亨,江釗亨,江釗亨,中國水泥價格創高走勢有利 4Q18 台泥大陸水泥噸毛利可望擴大，核心水泥事業獲利能力轉佳，且具高股息殖利率,NULL,中國水泥價格創高走勢有利 4Q18 台泥大陸水泥噸毛利可望擴大，核心水泥事業獲利能力轉佳，且具高股息殖利率
2,1101_台泥_2019-05-14_中信投顧_中信個股報告-20190514_1101台泥.pdf,Ctbc,買進,買進,買進,old,46.00,46.00,46.00,江釗亨,江釗亨,江釗亨,中國水泥價格回升走勢有利 2Q19 台泥大陸水泥噸毛利改善，核心水泥事業獲利能力轉佳，且具高股息殖利率,NULL,中國水泥價格回升走勢有利 2Q19 台泥大陸水泥噸毛利改善，核心水泥事業獲利能力轉佳，且具高股息殖利率
3,1102_亞泥_2018-04-26_中信投顧_中信個股報告-20180426_1102亞泥.pdf,Ctbc,買進,買進,買進,old,36.00,36.00,36.00,江釗亨,江釗亨,江釗亨,亞泥中國區水泥價格可望回升， 2Q 營運展望轉趨樂觀,NULL,亞泥中國區水泥價格可望回升， 2Q 營運展望轉趨樂觀
4,1102_亞泥_2018-05-17_中信投顧_中信個股報告-20180517_1102亞泥.pdf,Ctbc,買進,買進,買進,old,38.00,38.00,38.00,江釗亨,江釗亨,江釗亨,亞泥中國區水泥價格可望回升， 水泥噸毛利可望維持高位,NULL,亞泥中國區水泥價格可望回升， 水泥噸毛利可望維持高位
5,1102_亞泥_2018-12-03_中信投顧_中信個股報告-20181203_1102亞泥.pdf,Ctbc,買進,買進,買進,old,41.00,41.00,41.00,江釗亨,江釗亨,江釗亨,4Q18 進入水泥業旺季，亞泥中國區水泥價格可望續漲，有利水泥噸毛利可望維持高位，且具高殖利率,NULL,4Q18 進入水泥業旺季，亞泥中國區水泥價格可望續漲，有利水泥噸毛利可望維持高位，且具高殖利率
6,1102_亞泥_2019-04-24_中信投顧_中信個股報告-20190424_1102亞泥.pdf,Ctbc,買進,買進,買進,old,45.00,45.00,45.00,江釗亨,江釗亨,江釗亨,2Q19 進入水泥業走出淡季需求回溫，中國區水泥價格回升，有利水泥噸毛利維持高位，且具高殖利率,NULL,2Q19 進入水泥業走出淡季需求回溫，中國區水泥價格回升，有利水泥噸毛利維持高位，且具高殖利率
7,1203_味王_2018-12-10_中信投顧_中信個股報告-20181210_1203味王.pdf,Ctbc,中立,投資評等,中立,old,27.00,NULL,27.00,賴以容,賴以容,賴以容,4Q18 對台灣事業買氣淡，泰國和越南事業銷售動能佳，1H19 醬油和包材新產能稼動，惟目前評價未顯偏低,NULL,4Q18 對台灣事業買氣淡，泰國和越南事業銷售動能佳，1H19 醬油和包材新產能稼動，惟目前評價未顯偏低
8,1210-大成-2019_06_20-NULL-NULL.pdf,Ctbc,中立,中立,中立,old,35.00,35.00,35.00,賴以容,賴以容,賴以容,台灣豬價走揚 2Q19 飼料部門維持高增長動能，緬甸飼料廠 3Q19可挹注貢獻，持續投入各市場與事業建設，惟目前評價未明顯偏低,NULL,台灣豬價走揚 2Q19 飼料部門維持高增長動能，緬甸飼料廠 3Q19可挹注貢獻，持續投入各市場與事業建設，惟目前評價未明顯偏低
9,1210-大成-2019_06_20-中信投顧-NULL.pdf,Ctbc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NASDAQ,NULL,NASDAQ,NULL,NULL,NULL
10,1210-大成-2023_02_09-CTBC-NULL.pdf,Ctbc,增加持股(Overweight),維 持 評 等,增加持股(Overweight),new,"1,210.00","1,210.00","1,210.00",陳曉琪,陳曉琪,陳曉琪,公 司預 期 2Q23 營 運開 始 回 溫， 全 年 營 收 雙 位 數 成 長,NULL,公 司預 期 2Q23 營 運開 始 回 溫， 全 年 營 收 雙 位 數 成 長
11,1210_大成_2018-07-31_中信投顧_中信個股報告-20180731_1210大成.pdf,Ctbc,中立,中立,中立,old,40.00,40.00,40.00,賴以容,賴以容,賴以容,越南新廠啟用貢獻 2018 年飼料事業，然業外建案挹注 1Q18 將為全年獲利高峰，邁入 2Q18 雞價持續走弱，目前評價未顯偏低,NULL,越南新廠啟用貢獻 2018 年飼料事業，然業外建案挹注 1Q18 將為全年獲利高峰，邁入 2Q18 雞價持續走弱，目前評價未顯偏低
12,1210_大成_2019-01-11_中信投顧_中信個股報告-20190111_1210大成.pdf,Ctbc,中立,中立,中立,old,35.00,35.00,35.00,賴以容,賴以容,賴以容,3Q18 獲利不如預期，4Q18 台灣飼料調漲售價，2019 年持續投入各事業投資建設，目前評價未明顯偏低,NULL,3Q18 獲利不如預期，4Q18 台灣飼料調漲售價，2019 年持續投入各事業投資建設，目前評價未明顯偏低
13,1210_大成_2019-06-20__中信個股報告-20190620_1210大成.pdf,Ctbc,中立,中立,中立,old,35.00,35.00,35.00,賴以容,賴以容,賴以容,台灣豬價走揚 2Q19 飼料部門維持高增長動能，緬甸飼料廠 3Q19可挹注貢獻，持續投入各市場與事業建設，惟目前評價未明顯偏低,NULL,台灣豬價走揚 2Q19 飼料部門維持高增長動能，緬甸飼料廠 3Q19可挹注貢獻，持續投入各市場與事業建設，惟目前評價未明顯偏低
14,1215_卜蜂_2018-12-17_中信投顧_中信個股報告-20181217_1215卜蜂.pdf,Ctbc,中立,中立,中立,old,55.00,55.00,55.00,賴以容,賴以容,賴以容,預估 4Q18 可望受惠於低價原物料和豬價穩定，2019 年種鴨場、蛋雞場陸續投產，惟與同業相比評價無明顯偏低,NULL,預估 4Q18 可望受惠於低價原物料和豬價穩定，2019 年種鴨場、蛋雞場陸續投產，惟與同業相比評價無明顯偏低
15,1216_統一_2018-03-30_中信投顧_中信個股報告-20180330_1216統一.pdf,Ctbc,中立,中立,中立,old,72.00,72.00,72.00,賴以容,賴以容,賴以容,2018 年營運穩健、獲利歸於平淡，下檔具有殖利率保護，目前評價未明顯偏低,NULL,2018 年營運穩健、獲利歸於平淡，下檔具有殖利率保護，目前評價未明顯偏低
16,1216_統一_2018-12-26_中信投顧_中信個股報告-20181225_1216統一.pdf,Ctbc,中立,中立,中立,old,75.00,75.00,75.00,賴以容,賴以容,賴以容,預估 2019 年營收+3.63%YoY，目前評價未明顯偏低,NULL,預估 2019 年營收+3.63%YoY，目前評價未明顯偏低
17,1216_統一_2019-03-29_中信投顧_中信個股報告-20190329_1216統一.pdf,Ctbc,中立,中立,中立,old,78.00,78.00,78.00,賴以容,賴以容,賴以容,2018 年獲利符合預期，預估 2019 年營運穩定增長，評價未偏低,NULL,2018 年獲利符合預期，預估 2019 年營運穩定增長，評價未偏低
18,1218_泰山_2019-01-02_中信投顧_中信個股報告-20190102_1218泰山.pdf,Ctbc,中立,中立,中立,old,20.00,20.00,20.00,賴以容,賴以容,賴以容,預估今年台灣新品挹注且大宗需求佳、中國本業損平，增資規劃用於飲料寶特瓶線和油脂包裝線升級，惟目前評價未明顯偏低,NULL,預估今年台灣新品挹注且大宗需求佳、中國本業損平，增資規劃用於飲料寶特瓶線和油脂包裝線升級，惟目前評價未明顯偏低
19,1229_聯華_2018-12-03_中信投顧_中信個股報告-20181201_1229聯華.pdf,Ctbc,中立,中立,中立,old,30.00,30.00,30.00,賴以容,賴以容,賴以容,4Q18 擴增 20%產能、帳上仍有低價澳洲小麥庫存，然 2019 年原物料成本增加、業外貢獻減少且目前評價並未明顯偏低,NULL,4Q18 擴增 20%產能、帳上仍有低價澳洲小麥庫存，然 2019 年原物料成本增加、業外貢獻減少且目前評價並未明顯偏低
20,1233_天仁_2018-09-12_中信投顧_中信個股報告-20180912_1233天仁.pdf,Ctbc,中立,中立,中立,old,40.00,40.00,40.00,賴以容,賴以容,賴以容,國內餐飲營收比重逐漸拉升至約 45%，海外加盟事業為未來成長亮點，今年海外加盟店數新增近 30%，惟目前評價合理,NULL,國內餐飲營收比重逐漸拉升至約 45%，海外加盟事業為未來成長亮點，今年海外加盟店數新增近 30%，惟目前評價合理
21,1234_黑松_2019-01-02_中信投顧_中信個股報告-20190102_1234黑松.pdf,Ctbc,中立,中立,中立,old,34.00,34.00,34.00,賴以容,賴以容,賴以容,食品本業經營穩定，代理金酒銷售為 2019 年營運規劃重點之一，深坑資產活化為潛在亮點，惟目前評價未明顯偏低,NULL,食品本業經營穩定，代理金酒銷售為 2019 年營運規劃重點之一，深坑資產活化為潛在亮點，惟目前評價未明顯偏低
22,1240_茂生農經_2018-08-08_中信投顧_中信個股報告-20180808_1240茂生農經.pdf,Ctbc,中立,中立,中立,old,54.00,54 00,NULL,,NULL,,豬價走跌預估 2Q18 獲利壓抑，小麥價格持續攀升不利台灣大食品獲利表現，目前評價未明顯偏低,NULL,豬價走跌預估 2Q18 獲利壓抑，小麥價格持續攀升不利台灣大食品獲利表現，目前評價未明顯偏低
23,1240_茂生農經_2019-02-11_中信投顧_中信個股報告-20180211_1240茂生農經.pdf,Ctbc,買進,買進,買進,old,46.00,46.00,46.00,賴以容,賴以容,賴以容,1Q19 年後反應成本飼料再漲價 2 毛，替換約 20%的老舊母豬預計飼養率提升，預計 2Q19 生產效益顯現，建議年後為營運淡季佈局,NULL,1Q19 年後反應成本飼料再漲價 2 毛，替換約 20%的老舊母豬預計飼養率提升，預計 2Q19 生產效益顯現，建議年後為營運淡季佈局
24,1240_茂生農經_2019-05-14_中信投顧_中信個股報告-20190514_1240茂生農經.pdf,Ctbc,買進,買進,買進,old,50.00,50.00,50.00,賴以容,賴以容,賴以容,預期 1Q19 獲利優於預期，預計新客戶帶動飼料銷售量年增 10%，今年雞鴨飼養量規模增至 30 萬隻，2H19 豬隻汰換飼養效率顯現,NULL,預期 1Q19 獲利優於預期，預計新客戶帶動飼料銷售量年增 10%，今年雞鴨飼養量規模增至 30 萬隻，2H19 豬隻汰換飼養效率顯現
25,1256_鮮活果汁-KY_2018-06-01_中信投顧_中信個股報告-20180601_1256鮮活-KY.pdf,Ctbc,買進,買進,買進,old,212.00,212.00,212.00,賴以容,賴以容,賴以容,預估 2Q18 營運步入旺季，產能 4Q18 開出挹注成長動能，產品結構優化帶動獲利性提升,NULL,預估 2Q18 營運步入旺季，產能 4Q18 開出挹注成長動能，產品結構優化帶動獲利性提升
26,1264_德麥_2018-02-26_中信投顧_中信個股報告-20180226_1264德麥.pdf,Ctbc,中立,中立,中立,old,247.00,247.00,247.00,賴以容,賴以容,賴以容,預估 2018 年中國與馬來西亞市場表現較佳，營收成長 3.49%YoY，然目前評價未明顯偏低,NULL,預估 2018 年中國與馬來西亞市場表現較佳，營收成長 3.49%YoY，然目前評價未明顯偏低
27,1264_德麥_2018-06-05_中信投顧_中信個股報告-20180605_1264德麥.pdf,Ctbc,中立,中立,中立,old,224.00,224.00,224.00,賴以容,賴以容,賴以容,預估 2018 年中國市場好轉，然台灣獲利受原物料表現壓抑,NULL,預估 2018 年中國市場好轉，然台灣獲利受原物料表現壓抑
28,1264_德麥_2018-10-08_中信投顧_中信個股報告-20181008_1264德麥.pdf,Ctbc,中立,中立,中立,old,212.00,212.00,212.00,賴以容,賴以容,賴以容,預估 3Q18 中國仍延續 1H18 成長動能，預估 2019 年中國與馬來西亞貢獻主要成長動能，惟目前評價未明顯偏低,NULL,預估 3Q18 中國仍延續 1H18 成長動能，預估 2019 年中國與馬來西亞貢獻主要成長動能，惟目前評價未明顯偏低
29,1264_德麥_2019-04-12_中信投顧_中信個股報告-20190412_1264德麥.pdf,Ctbc,中立,中立,中立,old,225.00,225.00,225.00,賴以容,賴以容,賴以容,2018 年成本和營所稅侵蝕獲利表現，預期 1Q19 中國和台灣均衰退約 3%，中國 2Q19 以後營運可望恢復增長，目前評價未明顯偏低,NULL,2018 年成本和營所稅侵蝕獲利表現，預期 1Q19 中國和台灣均衰退約 3%，中國 2Q19 以後營運可望恢復增長，目前評價未明顯偏低
30,1268_漢來美食_2018-09-14_中信投顧_中信個股報告-20180914_1268漢來.pdf,Ctbc,中立,中立,中立,old,140.00,140.00,140.00,賴以容,賴以容,賴以容,1H18 費用率增加獲利衰退，2H18 新據點開出挹注營收增長，邁入旺季營運增溫，然目前評價處歷史本益比區間中上緣位置,NULL,1H18 費用率增加獲利衰退，2H18 新據點開出挹注營收增長，邁入旺季營運增溫，然目前評價處歷史本益比區間中上緣位置
